age,education_level,years_employed,annual_income,credit_score,dependents,existing_monthly_debt,loan_amount,term_months,interest_rate,monthly_payment,dti_ratio,days_delinquent,defaulted,state_AL,state_AZ,state_CA,state_CO,state_CT,state_FL,state_GA,state_IL,state_IN,state_KY,state_LA,state_MA,state_MD,state_MI,state_MN,state_MO,state_NC,state_NJ,state_NY,state_OH,state_OK,state_OR,state_PA,state_SC,state_TN,state_TX,state_UT,state_VA,state_WA,state_WI,employment_status_Contract,employment_status_Full-Time,employment_status_Part-Time,employment_status_Retired,employment_status_Self-Employed,home_ownership_Mortgage,home_ownership_Own,home_ownership_Rent,loan_purpose_Auto Loan,loan_purpose_Business Loan,loan_purpose_Debt Consolidation,loan_purpose_Education,loan_purpose_Home Improvement,loan_purpose_Major Purchase,loan_purpose_Medical Expenses,loan_purpose_Moving,loan_purpose_Vacation,loan_purpose_Wedding,monthly_income,loan_income_ratio,high_dti,income_per_dependent
35,4,15,63908,643,2,646,13300.0,48,10.91,343.16,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5325.666666666667,0.20811166051198599,0,21302.666666666668
35,4,15,63908,643,2,646,2700.0,48,12.73,72.07,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5325.666666666667,0.04224823183326031,0,21302.666666666668
30,2,6,22845,824,1,1044,15700.0,12,6.57,1355.36,126.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1903.75,0.68724009630116,1,11422.5
30,3,2,43606,586,2,1265,38300.0,48,13.9,1044.68,63.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3633.8333333333335,0.878319497316883,1,14535.333333333334
46,3,0,44614,813,2,1184,28800.0,60,9.94,611.06,48.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3717.8333333333335,0.6455372752947506,1,14871.333333333334
46,3,0,44614,813,2,1184,23700.0,60,7.25,472.09,44.5,105,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3717.8333333333335,0.5312233827946384,1,14871.333333333334
39,4,14,79782,615,3,1207,2000.0,60,11.65,44.14,18.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6648.5,0.025068311147877966,0,19945.5
39,4,14,79782,615,3,1207,34300.0,60,13.85,795.44,30.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6648.5,0.4299215361861071,1,19945.5
54,4,19,63730,850,2,671,17500.0,12,8.45,1525.94,41.4,63,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5310.833333333333,0.2745959516711125,1,21243.333333333332
32,3,9,74436,535,0,1435,20600.0,12,11.24,1822.97,52.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6203.0,0.2767478101993659,1,74436.0
41,2,2,55611,570,0,1994,23100.0,12,15.15,2086.6,88.1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4634.25,0.4153854453255651,1,55611.0
30,1,8,41753,665,4,1790,23300.0,48,13.03,625.43,69.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3479.4166666666665,0.5580437333844275,1,8350.6
68,3,28,66055,726,0,893,7200.0,60,8.39,147.34,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,5504.583333333333,0.109000075694497,0,66055.0
43,1,2,23712,528,0,993,13700.0,12,15.03,1236.73,112.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1976.0,0.5777665317139001,1,23712.0
43,1,17,45948,639,3,1294,23300.0,24,12.02,1097.03,62.4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3829.0,0.5070949769304431,1,11487.0
37,4,13,70937,584,1,2450,32400.0,36,13.31,1096.53,60.0,170,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5911.416666666667,0.45674330744181457,1,35468.5
37,4,13,70937,584,1,2450,23700.0,48,10.27,604.17,51.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5911.416666666667,0.3340992711842903,1,35468.5
65,3,6,24456,698,1,244,7400.0,24,12.65,350.59,29.2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2038.0,0.30258423290807984,0,12228.0
65,3,6,24456,698,1,244,13600.0,60,9.14,283.24,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2038.0,0.5561007523716062,0,12228.0
33,2,12,72054,761,0,2258,34200.0,12,10.17,3009.43,87.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6004.5,0.47464401698725955,1,72054.0
33,2,12,72054,761,0,2258,45200.0,60,11.41,992.02,54.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6004.5,0.6273072973047992,1,72054.0
56,4,10,80449,661,0,1679,46200.0,36,10.72,1506.41,47.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6704.083333333333,0.5742768710611692,1,80449.0
25,1,2,36142,757,4,987,32400.0,48,7.65,785.67,58.9,168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3011.8333333333335,0.896463947761607,1,7228.4
67,3,34,54489,559,0,1553,12400.0,12,14.05,1113.65,58.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4540.75,0.227568867110793,1,54489.0
54,4,5,59480,790,2,1921,16400.0,24,8.51,745.55,53.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4956.666666666667,0.2757229320780094,1,19826.666666666668
37,3,1,46167,826,2,1279,27100.0,24,8.64,1233.59,65.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3847.25,0.5869993718456906,1,15389.0
42,4,8,116049,667,2,2694,5400.0,48,10.5,138.26,29.3,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,9670.75,0.046532068350438174,0,38683.0
26,1,0,23219,576,0,999,5500.0,12,14.25,494.48,77.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1934.9166666666667,0.23687497308238942,1,23219.0
26,4,5,68134,813,2,306,46400.0,24,7.45,2086.93,42.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5677.833333333333,0.6810109490122406,1,22711.333333333332
57,2,16,72778,603,2,774,46500.0,36,10.02,1500.86,37.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,6064.833333333333,0.6389293467806205,1,24259.333333333332
40,3,8,53589,850,3,2112,16200.0,36,8.58,511.99,58.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4465.75,0.30230084532273416,1,13397.25
27,3,2,43412,700,0,980,4300.0,36,9.34,137.42,30.9,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3617.6666666666665,0.09905095365336773,1,43412.0
27,3,2,43412,700,0,980,10500.0,36,12.65,352.02,36.8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3617.6666666666665,0.24186860775822352,1,43412.0
67,3,34,45400,606,2,469,6800.0,36,12.32,226.9,18.4,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3783.3333333333335,0.14977973568281938,0,15133.333333333334
67,3,34,45400,606,2,469,28900.0,12,10.1,2542.11,79.6,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3783.3333333333335,0.6365638766519823,1,15133.333333333334
30,1,5,55244,550,2,1044,12800.0,36,13.96,437.23,32.2,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4603.666666666667,0.23169937006733762,1,18414.666666666668
57,4,15,107852,624,3,4410,44700.0,12,14.32,4020.22,93.8,117,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8987.666666666666,0.41445684827356005,1,26963.0
23,1,1,29964,735,2,602,5900.0,60,12.11,131.57,29.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2497.0,0.19690295020691498,0,9988.0
23,1,1,29964,735,2,602,15100.0,60,8.41,309.15,36.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2497.0,0.5039380590041384,1,9988.0
24,4,2,124663,785,3,1677,22600.0,24,10.2,1044.96,26.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10388.583333333334,0.1812887544820837,0,31165.75
64,1,22,52825,672,2,2077,9000.0,12,12.63,802.29,65.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4402.083333333333,0.17037387600567913,1,17608.333333333332
43,4,18,137860,641,0,4001,11000.0,24,10.24,508.81,39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11488.333333333334,0.07979109241259248,1,137860.0
43,4,18,137860,641,0,4001,19200.0,48,9.99,486.87,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,11488.333333333334,0.13927172493834325,1,137860.0
44,4,3,106612,806,0,641,12900.0,48,10.39,329.6,10.9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8884.333333333334,0.12099951225002814,0,106612.0
49,1,11,24811,625,3,747,3900.0,48,13.92,106.42,41.3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2067.5833333333335,0.15718834387973077,1,6202.75
64,4,26,80367,698,0,761,41600.0,36,10.34,1348.97,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,6697.25,0.5176253935072853,1,80367.0
48,3,19,88330,629,1,369,4000.0,24,12.11,188.5,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7360.833333333333,0.04528472772557455,0,44165.0
40,2,14,57427,694,0,1371,14400.0,36,12.3,480.35,38.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4785.583333333333,0.2507531300607728,1,57427.0
32,3,5,82953,850,0,1418,24300.0,48,6.29,573.92,28.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6912.75,0.2929369643050884,0,82953.0
34,1,13,57034,842,1,1734,15600.0,12,6.86,1348.81,64.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4752.833333333333,0.2735210576147561,1,28517.0
34,4,10,88890,615,2,3222,7900.0,12,13.28,706.64,53.0,128,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7407.5,0.08887388907638655,1,29630.0
28,4,7,123592,815,3,1139,9700.0,60,8.32,198.17,13.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10299.333333333334,0.07848404427471034,0,30898.0
30,4,5,139361,850,1,5313,36200.0,48,7.37,873.08,53.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,11613.416666666666,0.2597570338903998,1,69680.5
54,3,30,69049,616,0,2122,14100.0,48,12.22,372.83,43.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5754.083333333333,0.20420281249547423,1,69049.0
54,3,30,69049,616,0,2122,26200.0,48,11.78,687.12,48.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5754.083333333333,0.379440687048328,1,69049.0
55,3,15,68663,681,3,516,12000.0,24,9.39,550.37,18.6,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5721.916666666667,0.1747666137512197,0,17165.75
31,2,6,62036,567,1,419,37700.0,12,11.09,3333.57,72.6,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5169.666666666667,0.6077116512992456,1,31018.0
48,3,27,100958,555,1,445,29000.0,48,14.5,799.76,14.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,8413.166666666666,0.28724816260227026,0,50479.0
44,2,17,70593,749,2,2934,38400.0,60,7.84,775.68,63.1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5882.75,0.5439632824784327,1,23531.0
53,2,25,30740,697,1,291,20500.0,60,8.67,422.27,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2561.6666666666665,0.6668835393623943,0,15370.0
61,3,5,78362,548,3,919,42700.0,36,13.49,1448.83,36.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6530.166666666667,0.5449069702151553,1,19590.5
61,3,5,78362,548,3,919,10600.0,60,12.03,235.95,17.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6530.166666666667,0.13526964600188868,0,19590.5
38,3,8,61452,729,1,2393,12000.0,60,12.84,272.06,52.0,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5121.0,0.19527436047646943,1,30726.0
52,1,14,57596,709,4,336,5200.0,36,9.46,166.47,10.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4799.666666666667,0.09028404750329884,0,11519.2
23,4,1,56348,608,0,2459,29500.0,60,14.67,696.7,67.2,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4695.666666666667,0.5235323347767445,1,56348.0
51,3,7,51304,840,4,444,40300.0,24,8.41,1830.2,53.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4275.333333333333,0.78551380009356,1,10260.8
51,3,7,51304,840,4,444,4700.0,60,7.5,94.18,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4275.333333333333,0.09161079058163106,0,10260.8
23,4,3,72879,727,0,2400,5800.0,12,9.58,508.78,47.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6073.25,0.07958396794687084,1,72879.0
62,2,7,43333,837,2,807,15400.0,36,9.58,493.88,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,3611.0833333333335,0.3553873491334549,1,14444.333333333334
49,3,27,81913,546,0,3620,47600.0,24,13.53,2274.86,86.4,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6826.083333333333,0.5811043424120713,1,81913.0
49,3,27,81913,546,0,3620,23300.0,12,14.9,2101.92,83.8,117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6826.083333333333,0.28444813399582486,1,81913.0
62,4,33,67726,625,2,2877,16300.0,12,13.69,1461.15,76.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,5643.833333333333,0.24067566370374746,1,22575.333333333332
